len,count,word,sentiment,topic
2.0,56031,技术,2.0,4
2.0,55752,大幅,3.0,1
2.0,55319,国内,2.0,
2.0,54933,募资,3.0,3
1.0,54713,上,2.0,
3.0,54693,一季度,2.0,1
2.0,54662,回收,,
2.0,54630,方案,2.0,2.0
2.0,54470,价值,3.0,3
2.0,54296,启动,2.0,4.0
2.0,54186,推荐,3.0,1
2.0,54184,龙头,3.0,1
2.0,53715,发布,2.0,4
1.0,53395,下,2.0,
2.0,53356,涨幅,3.0,1
2.0,53192,城市,2.0,
2.0,53089,利润,3.0,1
2.0,52535,事项,2.0,
1.0,52483,要,2.0,
2.0,52223,提升,3.0,1
2.0,52023,打造,2.0,2
2.0,51992,连续,2.0,4
2.0,51294,完成,3.0,1
2.0,51228,调查,2.0,
2.0,51176,中期,2.0,1
1.0,50986,转,2.0,
2.0,50807,下降,1.0,
2.0,50616,钢铁,2.0, 
2.0,50594,资本,2.0,3.0
2.0,50450,如何,2.0,
1.0,50373,两,2.0,
2.0,50336,平台,2.0,
3.0,50248,地产股,,
2.0,50020,东方,2.0,
2.0,49875,升级,3.0,4
2.0,49779,震荡,1.0,3
1.0,49743,好,3.0,
3.0,49572,次新股,,
2.0,49557,年报,2.0,4.0
2.0,49353,复牌,3.0,1.0
2.0,49128,部分,2.0,
2.0,49092,新股,3.0,3
1.0,48780,从,2.0,
2.0,48630,季报,2.0,1.0
2.0,48484,集体,2.0, 
2.0,48339,产能,2.0,1.0
2.0,48045,转让,1.0,4
2.0,48000,通过,3.0,4
2.0,47552,拉升,3.0,1
2.0,47301,快速,3.0,1
2.0,47158,强势,3.0,1.0
1.0,47094,地,2.0,
2.0,46978,服务,2.0,
2.0,46756,走强,3.0,1.0
2.0,46586,预增,3.0,1
2.0,46574,午后,2.0, 
2.0,46489,实现,3.0,1
2.0,46372,迎来,3.0, 
2.0,46262,三大,2.0,1
2.0,45886,中标,3.0,1
2.0,45572,监管,1.0,4.0
1.0,45527,降,1.0,1
2.0,45311,股市,2.0,3.0
2.0,45239,推进,3.0,4.0
2.0,45090,最大,3.0,1
1.0,44799,荐,,
1.0,44651,还,3.0,
1.0,44627,都,2.0, 
2.0,44542,盘中,2.0,3.0
2.0,44511,重点,2.0, 
1.0,44500,未,1.0,
1.0,44333,期,2.0,
2.0,44162,整合,3.0,4
1.0,43945,迎,3.0,1
2.0,43922,空间,3.0,1
2.0,43850,持股,3.0,1
2.0,43819,化工,2.0,
1.0,43557,看,2.0,
2.0,43452,期货,,
2.0,43088,领域,2.0,
2.0,43083,消费,2.0,
2.0,42703,筹划,3.0,4
2.0,42626,多家,2.0,1
1.0,42587,金,2.0,
2.0,42423,传媒,,
1.0,42336,图,,
2.0,42098,海外,2.0,4
1.0,42057,因,2.0, 
2.0,42048,医疗,2.0,
2.0,41921,协议,2.0,
2.0,41596,违规,1.0,4.0
2.0,41521,背后,2.0,
2.0,41403,日起,2.0, 
2.0,41376,终止,1.0,
1.0,41279,去,2.0,
1.0,41225,车,2.0,
1.0,41208,派,2.0,
2.0,41117,下跌,1.0,
1.0,40881,谁,2.0,
2.0,40876,深圳,2.0,
2.0,40713,全国,2.0,
2.0,40532,第一,2.0,1
1.0,40475,又,2.0,
1.0,40285,能,3.0,1
2.0,40249,山东,2.0,
1.0,40184,来,2.0,
2.0,40181,大盘,2.0,3.0
1.0,40125,做,2.0,
2.0,39872,十大,3.0,1
2.0,39855,高管,2.0,4
2.0,39833,物流,2.0,4
2.0,39606,电商,2.0,1
2.0,39463,融券,,
2.0,39394,零售,2.0,2
2.0,39320,需求,2.0,1.0
2.0,39278,规模,2.0,
2.0,39181,全面,3.0,
3.0,39137,人民币,2.0,
3.0,39129,创业板,2.0,3.0
1.0,39105,会,2.0, 
2.0,38803,电气,2.0,4
2.0,38655,光电,2.0,
2.0,38483,三板,2.0,3.0
2.0,38291,市值,2.0,1
1.0,38100,创,1.0,
2.0,38035,动力,2.0, 
1.0,37873,占,2.0,
1.0,37775,受,2.0,
1.0,37500,吗,2.0,
2.0,37384,国家,2.0, 
2.0,37336,美国,2.0, 
2.0,37132,模式,2.0,
2.0,37075,新闻,,
2.0,37018,年内,2.0,
1.0,36961,买,2.0,
1.0,36887,低,1.0,1
2.0,36879,万亿,2.0,3
2.0,36843,突破,3.0,1.0
2.0,36740,什么,2.0,
2.0,36607,公开,3.0,
2.0,36341,收入,2.0,1
2.0,36230,涨价,3.0,1
2.0,36182,新高,3.0,1.0
2.0,36162,助力,3.0,1.0
2.0,36148,正式,3.0,
2.0,36099,巨头,3.0,1.0
2.0,36097,公布,2.0,4
2.0,35964,重庆,2.0, 
2.0,35796,销量,2.0,1.0
2.0,35752,私募,3.0,3
2.0,35733,申请,3.0,4
1.0,35728,推,2.0,
2.0,35715,苏宁,,
2.0,35632,传闻,2.0,
2.0,35547,披露,3.0,
2.0,35420,设立,1.0,
2.0,35358,策略,,
2.0,35325,成长,3.0,
2.0,35324,增速,2.0,1.0
2.0,34880,合同,2.0,
2.0,34870,航空,2.0,1
3.0,34612,投资者,3.0,3
2.0,34509,增发,3.0,3
2.0,34455,面临,2.0,
2.0,34439,光伏,2.0,2.0
2.0,34357,点评,2.0,
2.0,34315,开启,3.0,
2.0,34284,表现,2.0,1
2.0,34257,年度,2.0,
2.0,34191,质押,2.0,3.0
2.0,34185,短期,2.0, 
2.0,34112,旅游,,
2.0,34066,分析,2.0,
2.0,34050,走势,2.0,1
1.0,34048,欲,2.0,
2.0,33886,政府,2.0,
2.0,33865,制药,3.0,1
2.0,33845,营收,3.0,1.0
2.0,33842,整体,3.0,4
2.0,33775,贵州,2.0, 
2.0,33738,智慧,3.0,
2.0,33637,问题,1.0,
2.0,33357,保险,2.0,
2.0,33227,上调,3.0,1
2.0,33225,相关,2.0,
2.0,33175,压力,2.0,4.0
2.0,32963,明日,2.0, 
2.0,32948,世界,2.0,
3.0,32947,产业链,2.0,4
2.0,32945,回应,3.0,4
2.0,32929,再度,2.0,
2.0,32902,加码,3.0,
1.0,32856,起,2.0,
2.0,32841,高端,3.0,2
2.0,32673,广州,2.0, 
2.0,32673,工程,2.0,
2.0,32559,出炉,2.0,
2.0,32477,活跃,3.0,1
2.0,32461,暴涨,3.0,1.0
1.0,32448,天,2.0,
2.0,32400,发力,3.0,4
2.0,32367,生产,3.0,1
2.0,32106,成为,2.0,4
1.0,31948,约,2.0,
2.0,31808,员工,2.0,4
1.0,31685,就,2.0,
2.0,31564,理财,2.0,3
1.0,31396,赚,3.0,1
2.0,31313,领涨,3.0,3.0
2.0,31257,回购,2.0,4.0
2.0,31250,召开,2.0,4
2.0,31167,健康,3.0,
1.0,31066,走,2.0,
2.0,31001,矿业,2.0,1
2.0,30808,明年,2.0,
1.0,30800,正,2.0, 
1.0,30695,让,2.0, 
1.0,30667,即,2.0,
2.0,30661,软件,,
2.0,30655,石化,2.0, 
2.0,30644,变更,3.0,4
2.0,30619,目标,2.0,4
2.0,30592,明显,2.0, 
1.0,30588,投,2.0,
2.0,30552,港股,,
2.0,30546,通信,3.0,4
1.0,30382,之,2.0,
1.0,30296,潮,3.0,2
2.0,30261,增资,3.0,3.0
1.0,30201,乐,,
2.0,30187,扩张,3.0,4
1.0,30156,更,2.0,
2.0,30112,维持,3.0,
2.0,30081,天津,2.0, 
2.0,30058,提速,3.0,
2.0,30024,我国,,
2.0,29988,涉嫌,1.0,
1.0,29980,非,1.0, 
2.0,29934,资源,2.0,
2.0,29927,出台,2.0,4.0
2.0,29879,专家,2.0,4
3.0,29856,亿美元,2.0,
2.0,29813,进军,3.0,2
2.0,29639,加快,3.0,
2.0,29575,千亿,2.0,
2.0,29500,推动,3.0,1
2.0,29493,收益,3.0,1.0
2.0,29151,自主,3.0,2.0
1.0,29117,企,,
2.0,29076,参与,3.0,4
2.0,28981,贷款,1.0,1
2.0,28966,成立,2.0,4.0
2.0,28951,获批,2.0,4.0
2.0,28947,拟定,2.0,4.0
3.0,28942,前三季,2.0,1
2.0,28937,互动,2.0,
1.0,28880,现,2.0,
2.0,28863,手机,2.0,2
2.0,28842,规划,2.0,4
2.0,28698,回暖,3.0,1
1.0,28691,系,2.0,
2.0,28691,辞职,1.0,4.0
2.0,28687,首次,2.0,2
2.0,28639,开发,3.0,2
1.0,28626,也,2.0,
2.0,28574,成功,3.0,4
2.0,28474,落地,3.0,2
2.0,28461,分化,2.0,
2.0,28454,稀土,2.0,
2.0,28396,即将,2.0, 
2.0,28277,库存,2.0,1.0
1.0,28260,酒,2.0, 
2.0,28238,文化,2.0,4
2.0,28217,央行,,
2.0,28145,南京,2.0,
2.0,28133,网络,2.0, 
2.0,27948,指数,2.0,
2.0,27900,可能,2.0, 
2.0,27872,大跌,1.0,
1.0,27868,小,1.0,1
2.0,27863,工作,2.0, 
2.0,27824,商业,2.0, 
2.0,27801,激励,3.0,4.0
2.0,27746,土地,2.0,
2.0,27714,房价,,
2.0,27710,平安,2.0,
2.0,27548,重工,2.0, 
1.0,27531,以,2.0,
2.0,27499,经营,2.0,1.0
1.0,27395,难,1.0,
2.0,27358,支持,3.0, 
2.0,27308,制造,2.0,
3.0,27213,比亚迪,2.0,1
2.0,27132,全年,2.0,1.0
1.0,27128,这,2.0,
2.0,27110,工业,2.0, 
4.0,27050,资产重组,2.0,3.0
2.0,26918,预测,2.0,1.0
2.0,26799,趋势,2.0,
2.0,26726,浙江,2.0,
2.0,26718,一致,2.0,1
2.0,26637,电器,2.0,1
2.0,26614,挂牌,3.0,3
2.0,26559,回升,3.0,
1.0,26555,于,2.0, 
2.0,26374,控制,2.0,
2.0,26338,移动,2.0,
2.0,26292,实施,2.0,4
2.0,26206,江苏,2.0,
2.0,26195,宁波,2.0,
2.0,26113,成交,3.0,4.0
2.0,26110,否认,1.0,
2.0,25984,补贴,3.0,1
2.0,25982,大增,3.0,1
2.0,25923,热点,3.0,
2.0,25888,安全,2.0,4
2.0,25870,订单,2.0,1.0
3.0,25862,半年报,2.0,1
2.0,25839,管理,3.0,4
2.0,25826,出售,2.0,
2.0,25688,视网,,
2.0,25624,实业,2.0, 
2.0,25607,延续,3.0,
2.0,25594,成本,2.0,3.0
2.0,25570,事件,2.0,
2.0,25569,曝光,3.0,2
