len,count,word,sentiment,topic
2,15049,宣布,3,4
2,14691,行动,3,4
2,14438,保障,3,4
2,14068,签约,3,4
4,14026,国企改革,3,4
2,13446,旺季,3,4
2,13152,进展,3,4
2,13108,投入,3,4
2,12747,恢复,3,4
2,11407,引入,3,4
2,11163,取得,3,4
2,10885,达成,3,4
2,10582,入主,3,4
2,9653,改造,3,4
2,9514,治理,3,4
3,8939,国际化,3,4
2,8734,优化,3,4
2,8687,确认,3,4
2,7762,获准,3,4
2,7594,认证,3,4
2,7587,受让,3,4
2,7449,措施,3,4
2,7030,深化,3,4
2,6985,合理,3,4
2,6940,地位,3,4
3,6680,控股权,3,4
2,6667,联姻,3,4
2,6614,抱团,3,4
2,6455,拿下,3,4
2,6221,重整,3,4
2,5767,拟购,3,4
2,5489,版图,3,4
2,5308,押宝,3,4
2,5118,深耕,3,4
2,4244,交付,3,4
2,3343,决议,3,4
2,2374,捐赠,3,4
2,2161,远望,3,4
2,1397,齐心,3,4
1,135032,获,3,
2,84273,反弹,3,
2,46372,迎来,3,
2,27358,支持,3,
2,19904,两大,3,
2,16489,支撑,3,
2,14718,盛宴,3,
2,12964,追捧,3,
2,10407,乐观,3,
2,8165,瞄准,3,
2,7313,顺利,3,
2,5902,广阔,3,
2,4441,精华,3,
2,4368,辉煌,3,
2,4139,合力,3,
2,2893,治疗,3,
2,2704,如意,3,
2,1860,露笑,3,
2,1643,风范,3,
2,1512,顺络,3,
1,274984,新,3,
2,203409,增长,3,
1,129948,超,3,
1,108159,再,3,
1,99341,高,3,
3,82345,新能源,3,
2,81166,受益,3,
2,79418,看好,3,
1,78240,达,3,
1,77658,多,3,
2,67217,机会,3,
2,66003,加速,3,
1,64599,倍,3,
2,62398,爆发,3,
2,60942,大涨,3,
2,55752,大幅,3,
2,51294,完成,3,
1,49743,好,3,
2,47301,快速,3,
2,45090,最大,3,
1,44797,荐,3,
1,44651,还,3,
1,43943,迎,3,
2,43922,空间,3,
2,40532,第一,3,
1,40252,能,3,
2,39872,十大,3,
2,39181,全面,3,
2,36843,突破,3,
2,36607,公开,3,
2,36148,正式,3,
2,36140,助力,3,
2,36099,巨头,3,
2,35547,披露,3,
2,35325,成长,3,
2,34315,开启,3,
2,33865,制药,3,
2,33738,智慧,3,
2,32902,加码,3,
2,32477,活跃,3,
2,31167,健康,3,
2,30112,维持,3,
2,30058,提速,3,
2,29639,加快,3,
2,28698,回暖,3,
2,26559,回升,3,
2,25984,补贴,3,
2,25923,热点,3,
2,25607,延续,3,
2,25456,开始,3,
1,25257,强,3,
2,24972,优势,3,
2,24269,最高,3,
2,22537,改善,3,
2,22106,拓展,3,
2,21656,机遇,3,
2,21528,联手,3,
2,21475,主力,3,
2,21214,值得,3,
2,20883,增加,3,
1,20571,全,3,
2,20211,五大,3,
2,18959,加大,3,
2,17404,核心,3,
2,17288,正在,3,
2,16627,新增,3,
2,16598,潜力,3,
2,15662,凸显,3,
1,15621,掀,3,
2,15356,东风,3,
3,15277,进一步,3,
2,15140,澄清,3,
2,15098,首个,3,
2,15089,助推,3,
1,15005,宝,3,
2,14700,显现,3,
2,14568,免费,3,
