len,count,word,sentiment,topic
2,814,疫情,1,1
2,812,整体,3,4
2,809,能力,3,4
2,805,亿股,3,3
2,799,警示,1,4
2,790,价值,3,3
2,788,注入,3,3
3,781,可转债,2,3
2,776,中期,2,1
3,770,总经理,2,4
2,766,百亿,2,1
2,758,酒鬼,2,4
2,756,质疑,1,4
2,752,希望,3,1
2,748,入股,3,4
2,743,时代,2,
2,737,引入,3,4
2,735,宁波,2,
2,723,老窖,2,1
2,718,比例,2,1
2,715,涨价,3,1
2,711,提价,3,1
2,704,冻结,1,4
2,696,金额,3,3
2,691,渠道,3,1
2,684,挂牌,3,3
2,681,增募,3,3
2,676,大麻,2,
2,671,舍得,2,4
2,669,环境,2,1
2,660,铝业,2,1
1,657,以,2,
2,653,推动,3,1
2,648,认购,3,4
1,646,来,2,
2,643,情况,2,
3,633,供应商,2,1
2,626,投入,3,4
2,625,入主,3,4
2,618,开展,3,1
2,613,华为,2,1
2,609,解禁,3,2
1,607,小,1,1
1,605,南,2,
4,600,公司业绩,2,1
2,595,主要,2,
2,590,能否,1,
2,588,酒业,2,1
2,584,受让,3,4
4,581,临床试验,2,1
2,577,补充,2,
2,572,长江,2,
2,569,出口,3,1
4,564,发行股票,3,3
2,563,机会,3,
2,558,月份,2,
2,556,管理,3,4
3,553,半导体,2,1
2,550,海尔,2,
2,545,景气,3,1
3,539,下半年,2,1
2,538,电源,2,
4,537,副总经理,2,4
2,529,正在,3,
1,525,全,3,
1,522,宝,3,
2,518,落地,3,2
2,517,释放,3,1
2,515,控人,2,
2,512,威视,2,1
3,510,进一步,3,
2,507,生猪,2,1
2,504,数据,2,1
2,502,农业,2,1
2,500,长城,2,
2,499,牵手,3,4
2,498,云南,2,1
2,496,节能,3,2
2,493,驱动,3,2
2,489,核电,3,2
2,487,服饰,2,1
2,485,电商,2,1
2,481,核准,2,1
1,478,神,2,
2,476,手机,2,2
2,475,涉及,2,2
2,472,口罩,2,
2,470,发电,2,1
1,469,低,1,1
2,467,福田,2,
2,466,前景,3,1
2,464,三峡,2,1
1,462,曾,2,
1,460,罚,1,4
2,458,三大,2,1
2,454,提前,3,1
1,453,迎,3,1
1,449,通,2,
3,445,控股权,3,4
2,443,年前,2,1
2,441,近期,3,1
2,437,运营,3,4
2,432,土地,2,
2,427,新品,3,2
2,425,高铁,2,
4,424,宝钢股份,2,3
2,422,人福,2,
1,421,即,2,
2,419,海螺,2,
2,417,永泰,2,
2,414,回暖,3,1
1,412,出,2,
2,410,中环,2,
2,408,武汉,1,
2,405,变动,1,
2,402,造假,1,4
1,401,潮,3,2
2,399,研究,3,2
1,397,龙,3,
2,396,薪酬,3,1
2,396,批件,2,1
2,394,北汽,2,
3,393,锂电池,2,2
2,391,银亿,2,
2,388,新华,2,
2,387,阳光,3,
2,386,私募,3,3
2,384,矿业,2,1
2,383,中恒,2,
2,381,下属,2,4
2,380,海马,2,
2,379,歌尔,2,
2,377,经济,3,1
2,375,金字,3,2
2,374,还是,2,
2,373,家电,2,1
1,371,兆,2,1
2,371,净额,3,1
2,369,华海,2,
2,368,拖累,1,1
2,365,系列,2,2
1,364,业,2,
2,363,华帝,2,
2,362,江西,2,
2,361,配套,2,
2,359,户数,2,
3,358,月销量,2,1
2,356,唐人,2,1
2,355,完善,3,1
2,354,航空,2,1
2,353,华西,2,
2,352,新型,3,2
2,351,有色,2,1
2,350,万亿,2,3
2,348,国投,3,3
2,347,卫星,3,2
2,344,捐赠,3,4
2,343,第二,3,
2,342,曝光,3,2
4,340,冀东水泥,2,1
1,339,方,2,
2,338,华泰,2,3
2,337,周期,1,1
4,336,公司债券,2,3
1,335,量,3,1
2,334,三全,2,
2,333,电视,2,2
4,331,国家电网,2,国家电网
1,331,孙,2,
2,329,万华,2,
2,327,高速,2,2
3,326,现金流,3,1
2,325,法院,1,1
2,324,以来,2,1
3,323,一致性,3,
3,322,第四届,2,
2,321,湖南,2,
1,320,笔,2,
2,319,椰岛,2,
2,318,开拓,3,2
2,317,清仓,3,1
2,316,再现,3,1
2,315,东宝,2,
2,313,洽洽,2,
2,312,十大,3,1
1,311,过,2,
3,309,关联方,2,1
3,308,目标价,2,1
2,307,放缓,1,4
2,306,保障,3,4
1,305,破,1,
2,303,显示,2,1
2,303,天马,2,
2,302,质量,3,2
2,301,君正,2,
2,300,万方,2,
2,298,广药,2,
2,297,领先,3,2
1,296,国,2,
1,295,抛,1,
2,293,福建,2,
2,292,条件,2,1
2,291,金风,2,
3,290,大北农,2,
2,290,商标,2,2
3,289,青稞酒,2,
2,288,上年,2,1
2,287,稳步,3,1
3,287,增长点,3,1
2,285,三维,3,1
2,283,地位,3,4
2,282,宣布,3,4
2,282,增利,3,1
1,281,没,1,
2,281,红外,2,
2,280,损失,1,1
2,280,优质,3,2
2,279,年底,2,1
